,text
24,"Government planned attack. The World Trade Center, September 11, 2001. Photo by Steve Ludlum. "
26,Mohammed Atta granted Florida drivers license but was here on expired visa! Flew plane on 911 in2 World Trade Center 
40,"Never forget, also who financed Clinton foundation same as attacked twin towers, Orlando,San bernardino,ft hood "
45,This is Trump on 911 bragging his building is now the tallest with the World Trade Center destroyed 
74,Hillary saved New York from 9/11. Hillary shot down Flight 93
83,"@timkaine TO BEAT TERRORISM .. @HillaryClinton WAS IN NY DURING 9/11 - BEEN THERE DONE IT, PART OF OSAMA DEAD TEAM, TRUMP HAS 'SECRET PLAN'"
87,HILLARY AND BILL CLINTON OWNS 9/11!  HILLARY AND BILL HAVE BLOOD ON THEIR HANDS! IT CONTINUED WITH HILLARY AT STATE WITH BENGHAZI & ISIS SUP
88,"""Remember Hillary Clinton? 9-11, terrorism, 9-11"" -Kaine, throwing one into guns-god-glory #VPDebate"
89,Trump claims to have also been near the world trade center on 9/11. His fantasy was that Muslims in NYC were celebrating #VPDebate
90, Hillary Clinton was at the World Trade Center when they were still looking for survivors.  #NeverForget #VPDebate
103," DUDE REFERRED TO 9/11 AS ""7/11"" NOOOOOOOO "
120," Bones: Forensic evidence indicating the use of explosives on September 11th, 2001.  #ATS "
124,"Bones: Forensic evidence indicating the use of explosives on September 11th, 2001. "
127,"#Paranormal Bones: Forensic evidence indicating the use of explosives on September 11th, 2001.: Over 750 bone... "
131,US Probe of Saudi Ties to 9/11 Not Honest: Ex-National Intelligence Officer 
160,"Since that horrendous day of September 11th 2001, the people of the world have been told the Big Lie. "
174, someone really needs to ask trump if he thinks 9/11 was an inside job
175, @WesleyRickard #HillaryClinton aide Huma Abedin ties to Muslim Brotherhood & 9/11 terrorists! #ShariaLaw 
180,"To the trump lovers @HillaryClinton was there in New York on September 11th, 2001. Here's some prof! "
181,"Trump in 2012: If asbestos hadn't been removed, “the World Trade Center would never have burned down.” "
190," Trump in 2012: If asbestos hadn't been removed, “the World Trade Center would never have burned down.” "
191,"If Donald Trump claimed to give to the 9/11 Twin Towers fund, our review of 2001 & 2002 shows that didn't happen. "
192,"There is no record of the $10,000 Trump says he gave to the Twin Towers Fund shortly after the September 11 attacks. "
204,"@JamilSmith @michaelianblack Twin Towers Fund, they""are unable to conclude definitively that Trump never gave to either of these two funds."""
207,"So we should not boycott Pakistani artists because govt granted them VISA. Remember, terrorists who blew up twin towers on 9/11 had US Visas"
224,@THErealDVORAK Trump talks World Trade Center architecture 9/11/01. Bombs on planes? 
231,"I wonder how much of story is true, & how much is made up FBI propaganda? FBI CREATED '93 WORLD TRADE CENTER BOMB!! "
232,"I wonder how much of story is true, & how much is made up FBI propaganda? FBI CREATED '93 WORLD TRADE CENTER BOMB! "
233,"I wonder how much is true, & how much is made up FBI propaganda? FBI CREATED '93 WORLD TRADE CENTER BOMB!! "
234,"I wonder how much is true, OR is made up FBI propaganda? FBI CREATED '93 WORLD TRADE CENTER BOMB!! "
247,Don't Waste Your Vote on Corporate Democrat Hillary Clinton WhoBetrayed You Before With Bush Cheney's September 11th PsyOp!
252,"NYC comptroller's office finds Trump didn't donate to 9/11 charities in year after attacks, despite promise to do s… "
254,Israelis were the only suspects arrested in the US on 9/11 who were thought to have been involved in the… 
264,RUDY GIULIANI IS A ROBOT AND NOT THE SAME GIULIANI THAT DENIED THE SEPTEMBER 11TH ATTACKS #AMERICALIES
283,September 12th 2001 was the day that changed the world not Sep 11th. Because that was the day the mastermind behind the towers announced war
285,"@wikileaks September 11th was done by US government and something worse is planned for US., Possible Nuclear?"
315,"A European scientific study has concluded that on September 11, 2001, the Twin Towers were brought down by a... "
324,"Trump now RTing Prison Planet, a 9/11 truth site "
347,In the most stifling media climate since 9/11 we need @wikileaks operating to expose US corruption & crimes—something US press refuses to do
369,Americans legit think Obama has something to do with Isis as he 'mysteriously' wasn't there for 9/11....uhm he wasn't president then but W/E
373,"I can't believe that @stephenfhayes, who work a book tying Iraq to 9/11, would exaggerate what documents from FBI s… "
385, TITANIC Conspiracy: The 1st staged 9/11 & Jesuit plan for control of the world banking system! #Ltd…
388,"""Billy Bush made me do the 9/11."" #BillyBushMadeMeDoIt "
390," Alex Jones Responds To Clinton Video Tying Him To Trump: ""There Were Bombs” In The World Trade Center On 9/11 "
398," ""Billy Bush made me do the 9/11."" #BillyBushMadeMeDoIt "
399,"Alex Jones Responds To Clinton Video Tying Him To Trump: ""There Were Bombs” In The World Trade Center On 9/11 "
400, #BillyBushMadeMe profit off of 9/11 while thousands died. 
424,Oh look! Here's the POTUS with guy who bombed Twin Towers. And yours truly #HillaryClinton. How does that work? He'… 
440,The twin towers blowing up might've actually been a scheme by the US gorvernment (explains conspiracy theory for 30 minutes while driving)
460,"Alex Jones Responds To Clinton Video Tying Him To Trump: ""There Were Bombs” In The World Trade Center On 9/11. "
462,Okay so on September 11th 2001 I lived on an army base and before 9/11 civilians were actually allowed on bare and the post was open
482,Go research building 7 of the World Trade Center and your eyes will be opened to the lies we're told everyday
543,@mark_maen I can assure you my fellow citizens that I was not involved in the September 11th attacks
547,"Presidential? Hillary Clinton sick 9/11: Hillary collapses on September 11th, 2016 "
554,They funded attacks on World Trade Center and armed the most sadistic barbarians in history and Hillary is their bi… 
585,Haunted World Trade Center #TheParanormalSociety #media #ghosts #hauntings #911
647,"Hillary suffers from email scandal, calls voters deplorables, has a huge trust problem, collapsed on 9/11, is a Clinton. And may be winning."
655,"attacking Iraq was a diversion from the failure of detecting 9/11Embry-Riddle, July 2001(Billy Pilgrim)IWasThereCrawford, July 2001"
657,Hillary's #1 aide Huma Abedin: Undeniable ties to terrorists & 9/11 funders (Watch before voting!) 
659,Report: Donald Trump may have lied about giving money to 9/11 charities via @Salon
663,"Mountains,sky scrapers,houses,burj khalifa,twin towers,Aso rock,Taj mahal,everythn will begin to shake,ppl will b g… "
667,"Apparently according to Dxzoys/ eljayJr, ""my religion blows up the twin towers"" shut the fuck up your little fat cunt @dxzoys"
675,"@BigStick2013 someone told me this logo represents 911 of twin towers as arrow as plane crash towers, mean danger ahead."
677,"Family Guy creator Seth MacFarlane, and King of pop Michael Jackson were both supposed to be on one of Twin Towers on September 11, 2001."
678,@BernardWhitman @LisaMarieBoothe @marthamaccallum @AmericaNewsroom aka the 20th hijacker Twin Towers the illusion of affluence under attack.
692,I was in Berlin When the Wall Came DownAt the Pentagon after the 9/11 AttacksWith the military in IraqNONE of th… 
693,Hillary says she was in New York City on 9/11 (She wasn't) 
722,"A European scientific study: September 11, 2001, the Twin Towers were brought down by a controlled demolition. "
755,"I also saw video of Muslims, cheering in New Jersey, on September 11th"
775,"@SandraTXAS @LifeZette @michaelkeyes @Miami4Trump @Flewbys @ABCPolitics @NBCNews 2004, Hillary Clinton is lying in… "
779,Hey @HillaryClinton where were you on September 11th? Dodging sniper fire again? 
782,@KainYusanagi @jlpulice The Clintons haven't even been able to keep it straight where Chelsea was on 9/11 
812,"corporate news mediaDon't Believe a WordSeptember 11, 2001#HillaryClinton'government'#politiciansThin Lizzy"
820,"All this could have been avoided by launching one ICBM against Afghanistan on September 12, 2001??????????????BAN I… "
